State,Bachelor_Rate,Median_Income
Colorado,20.49,97113
"District of Columbia",19.37,109707
Vermont,18.93,82730
"New Jersey",18.49,104294
"New Hampshire",18.34,99782
Massachusetts,18.29,104828
Minnesota,17.9,87117
Washington,17.25,99389
Montana,17.17,75340
Hawaii,17.11,100745
Maine,16.8,76442
Virginia,16.75,92090
Oregon,16.56,85220
Connecticut,16.5,96049
"New York",16.23,85820
Illinois,16.23,83211
"Rhode Island",16.16,83504
Maryland,16.14,102905
California,16.12,100149
Florida,16.08,77735
Wisconsin,15.82,77488
"Puerto Rico",15.81,27213
"North Dakota",15.65,77871
"North Carolina",15.65,73958
Utah,15.64,96658
"South Dakota",15.48,76881
Pennsylvania,15.1,77545
Kansas,14.98,75514
Nebraska,14.77,76376
Georgia,14.62,79991
Idaho,14.56,81166
Arizona,14.53,81486
Texas,14.53,79721
Iowa,14.29,75501
Delaware,14.18,87534
"South Carolina",14.18,72350
Michigan,14.17,72389
Wyoming,14.11,75532
Missouri,13.87,71589
Tennessee,13.84,71997
Ohio,13.79,72212
Alaska,13.21,95665
Indiana,13.17,71959
Nevada,13.08,81134
Oklahoma,12.54,66148
"New Mexico",12.42,67816
Alabama,12.36,66659
Louisiana,11.72,60986
Arkansas,11.63,62106
Kentucky,11.07,64526
Mississippi,10.98,59127
"West Virginia",10.61,60798
