State,Market_Type
Alabama,"Lower Income"
Alaska,"High Income"
Arizona,"Middle Income"
Arkansas,"Lower Income"
California,"High Income"
Colorado,"High Income"
Connecticut,"High Income"
Delaware,"Middle Income"
"District of Columbia","High Income"
Florida,"Middle Income"
Georgia,"Middle Income"
Hawaii,"High Income"
Idaho,"Middle Income"
Illinois,"Middle Income"
Indiana,"Middle Income"
Iowa,"Middle Income"
Kansas,"Middle Income"
Kentucky,"Lower Income"
Louisiana,"Lower Income"
Maine,"Middle Income"
Maryland,"High Income"
Massachusetts,"High Income"
Michigan,"Middle Income"
Minnesota,"Middle Income"
Mississippi,"Lower Income"
Missouri,"Middle Income"
Montana,"Middle Income"
Nebraska,"Middle Income"
Nevada,"Middle Income"
"New Hampshire","High Income"
"New Jersey","High Income"
"New Mexico","Lower Income"
"New York","Middle Income"
"North Carolina","Middle Income"
"North Dakota","Middle Income"
Ohio,"Middle Income"
Oklahoma,"Lower Income"
Oregon,"Middle Income"
Pennsylvania,"Middle Income"
"Rhode Island","Middle Income"
"South Carolina","Middle Income"
"South Dakota","Middle Income"
Tennessee,"Middle Income"
Texas,"Middle Income"
Utah,"High Income"
Vermont,"Middle Income"
Virginia,"High Income"
Washington,"High Income"
"West Virginia","Lower Income"
Wisconsin,"Middle Income"
Wyoming,"Middle Income"
"Puerto Rico","Lower Income"
